,height,weight,label,0
0,0.925,0.55,thin,thin
1,0.9,0.66,normal,normal
2,0.805,0.66,fat,fat
3,0.985,0.4,thin,thin
4,0.96,0.79,normal,normal
5,0.92,0.44,thin,thin
6,0.97,0.74,normal,normal
7,0.65,0.65,fat,fat
8,0.91,0.44,thin,thin
9,0.87,0.74,normal,normal
10,0.61,0.37,normal,normal
11,0.695,0.6,fat,fat
12,0.7,0.66,fat,fat
13,0.985,0.65,thin,thin
14,0.965,0.47,thin,thin
15,0.86,0.67,normal,normal
16,0.695,0.5,fat,fat
17,0.93,0.63,thin,thin
18,0.76,0.6,fat,fat
19,0.97,0.59,thin,thin
20,0.915,0.67,normal,normal
21,0.73,0.67,fat,fat
22,0.775,0.39,thin,thin
23,0.64,0.54,fat,fat
24,0.86,0.4,thin,thin
25,0.63,0.72,fat,fat
26,0.605,0.43,fat,fat
27,0.715,0.59,fat,fat
28,0.92,0.55,thin,thin
29,0.88,0.64,normal,normal
30,0.69,0.35,thin,normal
31,0.735,0.64,fat,fat
32,0.98,0.45,thin,thin
33,0.705,0.54,fat,fat
34,0.69,0.53,fat,fat
35,0.935,0.64,thin,thin
36,0.785,0.78,fat,fat
37,0.9,0.68,normal,normal
38,0.62,0.8,fat,fat
39,0.715,0.43,normal,normal
40,0.855,0.78,fat,fat
41,0.795,0.53,normal,normal
42,1.0,0.49,thin,thin
43,0.625,0.73,fat,fat
44,0.725,0.44,normal,normal
45,0.975,0.7,thin,normal
46,0.85,0.58,normal,normal
47,0.86,0.7,normal,normal
48,0.885,0.7,normal,normal
49,0.685,0.49,fat,fat
50,0.665,0.49,fat,fat
51,0.96,0.58,thin,thin
52,0.735,0.38,thin,thin
53,0.975,0.43,thin,thin
54,0.875,0.66,normal,normal
55,0.71,0.37,thin,normal
56,0.91,0.8,normal,normal
57,0.945,0.64,thin,thin
58,0.62,0.77,fat,fat
59,0.72,0.52,fat,normal
60,0.6,0.64,fat,fat
61,0.715,0.4,normal,normal
62,0.9,0.52,thin,thin
63,0.985,0.49,thin,thin
64,0.825,0.57,normal,normal
65,0.95,0.8,normal,normal
66,0.815,0.35,thin,thin
67,0.84,0.7,normal,normal
68,0.855,0.47,thin,thin
69,0.855,0.44,thin,thin
70,0.695,0.75,fat,fat
71,0.73,0.6,fat,fat
72,0.635,0.36,normal,normal
73,0.88,0.77,normal,normal
74,0.685,0.78,fat,fat
75,0.79,0.5,normal,normal
76,0.625,0.8,fat,fat
77,0.97,0.44,thin,thin
78,0.82,0.7,fat,fat
79,0.8,0.7,fat,fat
80,0.84,0.75,fat,fat
81,0.935,0.53,thin,thin
82,0.96,0.54,thin,thin
83,0.835,0.37,thin,thin
84,0.82,0.71,fat,fat
85,0.73,0.4,normal,normal
86,0.865,0.46,thin,thin
87,0.645,0.73,fat,fat
88,0.715,0.52,fat,fat
89,0.605,0.75,fat,fat
90,0.72,0.47,normal,normal
91,0.65,0.59,fat,fat
92,0.935,0.55,thin,thin
93,0.955,0.38,thin,thin
94,0.865,0.8,fat,fat
95,0.75,0.61,fat,fat
96,0.71,0.5,normal,normal
97,0.945,0.45,thin,thin
98,0.795,0.39,thin,thin
99,0.69,0.73,fat,fat
100,0.735,0.71,fat,fat
101,0.895,0.53,thin,thin
102,0.795,0.54,normal,normal
103,0.86,0.56,normal,normal
104,0.755,0.71,fat,fat
105,0.61,0.61,fat,fat
106,0.735,0.78,fat,fat
107,0.96,0.37,thin,thin
108,0.835,0.75,fat,fat
109,0.785,0.35,thin,thin
110,0.78,0.77,fat,fat
111,0.89,0.59,normal,normal
112,0.8,0.6,normal,normal
113,0.64,0.8,fat,fat
114,0.635,0.53,fat,fat
115,0.755,0.75,fat,fat
116,0.94,0.73,normal,normal
117,0.9,0.37,thin,thin
118,0.96,0.8,normal,normal
119,0.695,0.6,fat,fat
120,0.995,0.74,normal,normal
121,0.795,0.55,normal,normal
122,0.85,0.76,fat,fat
123,0.61,0.56,fat,fat
124,0.79,0.55,normal,normal
125,0.695,0.78,fat,fat
126,0.61,0.48,fat,fat
127,0.795,0.42,thin,thin
128,0.68,0.77,fat,fat
129,0.61,0.49,fat,fat
130,0.775,0.6,normal,normal
131,0.855,0.74,fat,fat
132,0.83,0.41,thin,thin
133,0.905,0.67,normal,normal
134,0.615,0.67,fat,fat
135,0.62,0.67,fat,fat
136,0.8,0.65,fat,fat
137,0.815,0.68,fat,fat
138,0.965,0.61,thin,thin
139,0.885,0.59,normal,normal
140,0.9,0.57,thin,thin
141,0.84,0.74,fat,fat
142,0.865,0.45,thin,thin
143,0.665,0.44,normal,normal
144,0.67,0.52,fat,fat
145,0.92,0.42,thin,thin
146,0.825,0.74,fat,fat
147,0.785,0.45,thin,thin
148,0.665,0.54,fat,fat
149,0.7,0.71,fat,fat
150,0.685,0.7,fat,fat
151,0.84,0.42,thin,thin
152,0.815,0.7,fat,fat
153,0.625,0.4,fat,fat
154,1.0,0.77,normal,normal
155,0.985,0.73,normal,normal
156,0.71,0.38,normal,normal
157,0.935,0.59,thin,thin
158,0.87,0.38,thin,thin
159,0.85,0.8,fat,fat
160,0.755,0.79,fat,fat
161,0.94,0.54,thin,thin
162,0.655,0.77,fat,fat
163,0.625,0.41,fat,fat
